,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,129,23,84.86842105263158,15.131578947368421,12798.652451337817,-443.39065106283743,99.21436008789006,-19.27785439403641,81.28461710707224
1,201403-201406,139,84,62.33183856502242,37.66816143497758,8235.996908137437,-2385.388540576318,59.251776317535516,-28.397482625908548,26.235911962157484
2,201406-201409,164,122,57.34265734265735,42.65734265734265,7397.652947065149,-2673.8366018182237,45.10763992112896,-21.916693457526424,16.51684036799624
3,201409-201412,142,97,59.41422594142259,40.58577405857741,5232.337094868459,-1858.1176715636118,36.84744433005957,-19.155852284160947,14.118072900857099
4,201412-201503,97,123,44.09090909090909,55.90909090909091,2825.3647623797547,-2633.105541401396,29.127471777110873,-21.4073621252146,0.873905549901631
5,201503-201506,129,94,57.847533632286996,42.152466367713004,3958.747730425084,-1427.4173833287077,30.687966902520028,-15.185291312007529,11.351257161867156
6,201506-201509,157,65,70.72072072072072,29.27927927927928,6456.751766458711,-971.6319409305448,41.12580742967332,-14.948183706623766,24.707746961838588
7,201509-201512,122,90,57.54716981132076,42.45283018867924,3520.1781743023034,-1968.461516190145,28.85391946149429,-21.871794624334942,7.319418198642257
8,201512-201603,124,29,81.04575163398692,18.954248366013072,6830.690880334028,-463.0931312720206,55.086216776887326,-15.968728664552435,41.61828594158175
9,201603-201606,122,33,78.70967741935485,21.29032258064516,5863.243132057969,-404.888635539381,48.05936993490138,-12.269352592102456,35.21519030011992
10,201606-201609,146,47,75.64766839378238,24.352331606217618,6129.502320872889,-869.4522713637292,41.982892608718416,-18.498984497100622,27.254145334244352
11,201609-201612,193,23,89.35185185185185,10.648148148148149,11786.196000004547,-373.78274726122623,61.06837305701838,-16.251423793966357,52.83524654047834
12,201612-201703,135,89,60.26785714285714,39.732142857142854,6259.1157472101095,-1828.1965601241347,46.36382034970451,-20.541534383417243,19.78088922806239
13,201703-201706,101,124,44.888888888888886,55.111111111111114,4206.0880560409205,-2848.5101327444427,41.644436198424955,-22.971855909229376,6.033679659095457
14,201706-201709,80,141,36.199095022624434,63.80090497737556,2176.8353574793396,-3882.2165249404766,27.210441968491743,-27.533450531492743,-7.716656866339987
15,201709-201712,42,204,17.073170731707318,82.92682926829268,959.6864224828707,-5983.869983406599,22.849676725782636,-29.33269599709117,-20.42351041025906
16,201712-201803,73,149,32.88288288288289,67.11711711711712,1625.8509730884932,-3687.134422230575,22.271931138198536,-24.74586860557433,-9.285060581721089
17,201803-201806,72,127,36.18090452261307,63.81909547738693,1434.3586183102875,-3485.153316176361,19.92164747653177,-27.442152095876857,-10.305500994301877
18,201806-201809,50,89,35.97122302158273,64.02877697841727,1272.5710128141325,-2652.5391759910895,25.45142025628265,-29.803810966192017,-9.927828512064439
19,201809-201812,63,123,33.87096774193548,66.12903225806451,1438.6030704353918,-3445.7179081886648,22.834969371990347,-28.013966733241176,-10.790939987920822
20,201812-201903,15,149,9.146341463414634,90.85365853658537,335.01499063455384,-6763.292479168638,22.334332708970255,-45.391224692406965,-39.19681395447612
21,201903-201906,40,100,28.57142857142857,71.42857142857143,1343.6391185097077,-3452.2957574601473,33.59097796274269,-34.52295757460147,-15.061833135360283
22,201906-201909,64,96,40.0,60.0,2410.0016665973253,-2575.4903069620914,37.65627604058321,-26.82802403085512,-1.034304002279788
23,201909-201912,102,48,68.0,32.0,4275.4853439298,-632.3337408100085,41.91652297970393,-13.17361960020851,24.287677354131944
24,201912-202003,178,4,97.8021978021978,2.197802197802198,20769.004321701912,-22.886244787153053,116.6797995601231,-5.721561196788263,113.9896597632679
