,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,312,83,78.9873417721519,21.012658227848103,36513.520073808686,-1708.8955765902283,117.03051305707912,-20.58910333241239,88.11297341067964
1,201403-201406,203,171,54.278074866310156,45.72192513368984,15534.170998327278,-4888.433065957643,76.52300984397674,-28.587327871097326,28.46453992612202
2,201406-201409,194,185,51.187335092348285,48.812664907651715,12281.871034530994,-4537.863042954337,63.308613580056665,-24.528989421374796,20.432738764054502
3,201409-201412,242,114,67.97752808988764,32.02247191011236,15376.353422634485,-2331.636354088193,63.538650506754074,-20.452950474457833,36.64246367569183
4,201412-201503,204,200,50.495049504950494,49.504950495049506,14612.505237685411,-4750.677431964596,71.6299276357128,-23.753387159822978,24.410464865645583
5,201503-201506,240,140,63.1578947368421,36.84210526315789,16027.768961911122,-2714.9348676108402,66.78237067462968,-19.392391911506003,35.033773932369165
6,201506-201509,233,105,68.93491124260355,31.06508875739645,15579.398652754191,-2019.6190250793882,66.86437190023258,-19.234466905517984,40.117691206138474
7,201509-201512,52,37,58.42696629213483,41.57303370786517,2877.9220143322905,-1033.211642691802,55.344654121774816,-27.92463899167032,20.72708282742122
8,201512-201603,311,77,80.15463917525774,19.84536082474227,23447.623148944283,-1394.205048094189,75.39428665255397,-18.106559066158297,56.83870644548994
9,201603-201606,273,80,77.33711048158641,22.6628895184136,16962.266369008124,-1712.3720605540002,62.1328438425206,-21.404650756925,43.200833734997516
10,201606-201609,229,112,67.15542521994135,32.84457478005865,13822.081711829234,-2422.058472822605,60.358435422835086,-21.62552207877326,33.43115319356783
11,201609-201612,310,50,86.11111111111111,13.88888888888889,29453.491406856985,-1123.502913948806,95.01126260276448,-22.470058278976122,78.6944124803005
12,201612-201703,205,169,54.81283422459893,45.18716577540107,11620.999815535484,-4055.3397766142275,56.68780397822187,-23.996093352746907,20.22903753722261
13,201703-201706,143,205,41.09195402298851,58.90804597701149,6380.3030430802955,-5398.147081632596,44.61750379776431,-26.33242478845169,2.8222872455393655
14,201706-201709,99,249,28.448275862068968,71.55172413793103,4533.074826644489,-8408.941388285853,45.7886346125706,-33.77084894893917,-11.137547590923461
15,201709-201712,49,360,11.98044009779951,88.01955990220048,1943.0887600505484,-13590.775586125701,39.65487265409283,-37.752154405904726,-28.47845189749426
16,201712-201803,92,298,23.589743589743588,76.41025641025641,3321.8641824527904,-9665.499602475298,36.10721937448685,-32.434562424413755,-16.26573184621156
17,201803-201806,86,278,23.626373626373624,76.37362637362637,2884.8389691973907,-9524.499281487278,33.544639176713844,-34.26078878232834,-18.24082503376343
18,201806-201809,76,303,20.052770448548813,79.94722955145119,2015.2839946622826,-10878.503947857296,26.51689466660898,-35.9026532932584,-23.38580462584436
19,201809-201812,84,318,20.8955223880597,79.1044776119403,2239.0283070341575,-12000.031166112676,26.65509889326378,-37.73594706324741,-24.281101639498804
20,201812-201903,16,339,4.507042253521127,95.49295774647887,491.8089120053419,-18020.07769812792,30.738057000333868,-53.15657138090832,-49.375405031331205
21,201903-201906,99,278,26.25994694960212,73.74005305039788,5712.845053383286,-9041.303770620749,57.70550558973016,-32.522675433887585,-8.828802963494597
22,201906-201909,208,282,42.44897959183673,57.55102040816327,14545.770853160455,-7420.721669176641,69.9315906401945,-26.314615848144115,14.540916702007785
23,201909-201912,282,96,74.60317460317461,25.396825396825395,22145.706725049,-1651.2038204058226,78.53087491152128,-17.200039795893986,54.21826165249518
24,201912-202003,371,9,97.63157894736842,2.368421052631579,55922.25629878597,-150.5287983384858,150.73384447112122,-16.725422037609533,146.76770394854603
