,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,156,27,85.24590163934425,14.754098360655737,15942.508382861099,-525.0642069243888,102.19556655680192,-19.446822478681067,84.24832883025525
1,201403-201406,160,89,64.2570281124498,35.7429718875502,9094.813444232568,-2473.421782801896,56.84258402645355,-27.791255986538157,26.591934383255715
2,201406-201409,176,130,57.51633986928104,42.48366013071895,7787.225604500623,-2836.9132047387698,44.245600025571726,-21.822409267221307,16.177491502489715
3,201409-201412,156,111,58.42696629213483,41.57303370786517,5860.194104440929,-2092.0948973777136,37.56534682333928,-18.8477017781776,14.112731112596311
4,201412-201503,109,141,43.6,56.39999999999999,3003.1448791351077,-3059.8685705264597,27.551787881973464,-21.70119553564865,-0.2268947655654083
5,201503-201506,150,102,59.523809523809526,40.476190476190474,4458.784344479842,-1617.3621963309795,29.725228963198944,-15.856492120891955,11.275484714876438
6,201506-201509,189,76,71.32075471698113,28.67924528301887,7443.0121626222035,-1201.0556117830574,39.381016733450814,-15.803363312934966,23.554553022034515
7,201509-201512,136,110,55.28455284552846,44.71544715447154,3858.4660977014482,-2295.758631263239,28.371074247804767,-20.87053301148399,6.352469375765079
8,201512-201603,152,34,81.72043010752688,18.27956989247312,7968.263129688003,-582.8500834370207,52.422783747947385,-17.14264951285355,39.70652175403754
9,201603-201606,140,42,76.92307692307693,23.076923076923077,6768.1586657837515,-498.9842516955169,48.34399046988394,-11.880577421321831,34.44601326422107
10,201606-201609,164,55,74.88584474885845,25.11415525114155,6651.735401363056,-1030.0511178651368,40.55936220343327,-18.728202143002488,25.669791248848945
11,201609-201612,217,25,89.6694214876033,10.330578512396695,13206.802776296041,-396.10158646467704,60.86084228707853,-15.844063458587081,52.936781776162654
12,201612-201703,156,96,61.904761904761905,38.095238095238095,6884.355307695897,-1908.6102787763216,44.130482741640364,-19.881357070586684,19.74501995603006
13,201703-201706,121,142,46.00760456273764,53.99239543726235,4627.695114186281,-3211.0493609294476,38.245414166828766,-22.613023668517236,5.386485753828263
14,201706-201709,96,166,36.6412213740458,63.358778625954194,2691.0527229787626,-4457.074005511946,28.031799197695445,-26.84984340669847,-6.74053924630986
15,201709-201712,57,226,20.141342756183743,79.85865724381625,1208.2980476819341,-6555.762306405133,21.19821136284095,-29.007797815951918,-18.895633423050175
16,201712-201803,86,169,33.72549019607843,66.27450980392156,1914.7585076033697,-4086.0871782261024,22.264633809341507,-24.17803064039114,-8.515014394598952
17,201803-201806,85,151,36.016949152542374,63.983050847457626,1753.3836251108687,-4022.4529422340033,20.628042648363163,-26.638761206847704,-9.614700496284469
18,201806-201809,64,114,35.95505617977528,64.04494382022472,1693.8536036304386,-3202.580611065989,26.466462556725602,-28.092812377771835,-8.475994423795228
19,201809-201812,86,142,37.719298245614034,62.28070175438597,2105.5491266355093,-3954.494610622378,24.483129379482666,-27.848553595932238,-8.109410017486265
20,201812-201903,15,187,7.425742574257425,92.57425742574257,335.01499063455384,-8383.295640822851,22.334332708970255,-44.83045797231471,-39.84297351578365
21,201903-201906,50,126,28.40909090909091,71.5909090909091,1574.6577929836885,-4220.349482070978,31.49315585967377,-33.49483715929348,-15.032339142541419
22,201906-201909,84,118,41.584158415841586,58.415841584158414,3094.7055042259176,-3262.7312991198614,36.84173219316568,-27.65026524677849,-0.8318108658116031
23,201909-201912,115,60,65.71428571428571,34.285714285714285,4808.15406427778,-819.2674552134189,41.81003534154591,-13.654457586890315,22.793637766082064
24,201912-202003,214,5,97.71689497716895,2.28310502283105,25450.213011005322,-62.46519215557411,118.92622902338935,-12.493038431114822,115.9257891271678
