,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,29,7,80.55555555555556,19.444444444444446,2334.6252337813025,-226.60030536719623,80.50431840625181,-32.37147219531375,58.55624801150296
1,201403-201406,70,30,70.0,30.0,3526.9748601872766,-878.9598912275628,50.38535514553252,-29.29866304091876,26.480149689597138
2,201406-201409,13,14,48.148148148148145,51.85185185185185,648.2007859970498,-333.70089041540905,49.861598922849986,-23.83577788681493,11.64814428080151
3,201409-201412,13,14,48.148148148148145,51.85185185185185,904.5519846814024,-272.49507556069364,69.58092189856941,-19.463933968620974,23.40951515261884
4,201412-201503,10,17,37.03703703703704,62.96296296296296,792.1135536281896,-519.3162009911521,79.21135536281896,-30.548011823008945,10.103605653223612
5,201503-201506,11,7,61.111111111111114,38.88888888888889,516.5974188722474,-233.2355774801739,46.963401715658854,-33.319368211453416,15.742324521781862
6,201506-201509,15,10,60.0,40.0,791.0473051355856,-305.0342573918491,52.73648700903904,-30.503425739184912,19.44052190974946
7,201509-201512,10,13,43.47826086956522,56.52173913043478,576.8721954265865,-371.7638148808124,57.687219542658646,-28.59721652929326,8.917755675903221
8,201512-201603,12,1,92.3076923076923,7.6923076923076925,771.121465970857,-11.40350877192983,64.26012216423808,-11.40350877192983,58.439842861455936
9,201603-201606,32,10,76.19047619047619,23.809523809523807,1796.4191316022484,-143.39601287895462,56.13809786257026,-14.339601287895462,39.357693302935566
10,201606-201609,36,17,67.9245283018868,32.075471698113205,1855.3997027336995,-317.4140875400368,51.53888063149165,-18.671416914119813,29.018596513087978
11,201609-201612,12,1,92.3076923076923,7.6923076923076925,752.3618937393067,-36.9047619047619,62.69682447827555,-36.9047619047619,55.03516398727267
12,201612-201703,24,23,51.06382978723404,48.93617021276596,1448.3231801856555,-503.99397474160753,60.346799174402314,-21.912781510504676,20.09211075412868
13,201703-201706,19,34,35.84905660377358,64.15094339622641,1052.5746819573178,-898.1166442465188,55.39866747143778,-26.41519541901526,2.914302598316962
14,201706-201709,12,14,46.15384615384615,53.84615384615385,360.13618022360123,-430.1255362784248,30.01134835196677,-30.723252591316058,-2.6918983098009073
15,201709-201712,40,156,20.408163265306122,79.59183673469387,844.5253425912755,-5793.141597715961,21.113133564781887,-37.135523062281806,-25.248042117983093
16,201712-201803,17,23,42.5,57.49999999999999,654.985073416418,-640.4750007659911,38.52853373037753,-27.846739163738743,0.36275181626067193
17,201803-201806,8,20,28.57142857142857,71.42857142857143,192.14976872297757,-608.4039483355987,24.018721090372196,-30.420197416779935,-14.866220700450754
18,201806-201809,9,26,25.71428571428571,74.28571428571429,301.95229099294244,-812.4449049397624,33.550254554771385,-31.247880959221632,-14.585503255623427
19,201809-201812,6,13,31.57894736842105,68.42105263157895,254.01008601607117,-459.5191365787439,42.33501433601186,-35.3476258906726,-10.816265819088038
20,201812-201903,4,33,10.81081081081081,89.1891891891892,85.06645135574956,-1571.0897933583667,21.26661283893739,-47.608781616920204,-40.162793027097756
21,201903-201906,2,14,12.5,87.5,409.99131036195,-457.37090093018634,204.995655180975,-32.66935006644188,-2.9612244105147703
22,201906-201909,10,10,50.0,50.0,419.0133345844632,-333.5946182916727,41.901333458446324,-33.35946182916727,4.270935814639526
23,201909-201912,23,7,76.66666666666667,23.333333333333332,1412.593190658764,-120.5187860205568,61.41709524603321,-17.216969431508115,43.06914682127357
24,201912-202003,25,1,96.15384615384616,3.8461538461538463,3486.132469942494,-10.966944701884461,139.44529879769976,-10.966944701884461,133.66021250925422
