,Quarters,Wins,Losses,Win%,Loss%,Total Win,Total Loss,Avg Win,Avg Loss,Total Avg Profit
0,201312-201403,214,40,84.25196850393701,15.748031496062993,20087.676513876,-782.796106695457,93.86764726110279,-19.569902667386422,76.00346617000214
1,201403-201406,188,135,58.204334365325074,41.795665634674926,10972.900496753624,-3940.3667504476416,58.366492004008634,-29.187901855167716,21.772550298160937
2,201406-201409,168,134,55.62913907284768,44.370860927152314,8019.903681312786,-3303.0460479996873,47.737521912576106,-24.649597373131996,15.61873388514271
3,201409-201412,159,101,61.15384615384616,38.84615384615385,6842.009451818321,-2047.202050174316,43.03150598627875,-20.269327229448674,18.44156692940002
4,201412-201503,110,171,39.14590747330961,60.854092526690394,4823.961034946316,-4239.967936337639,43.85419122678469,-24.795134130629467,2.078267254835151
5,201503-201506,133,107,55.41666666666667,44.583333333333336,5943.58554830821,-2300.296363274149,44.68861314517451,-21.49809685302943,15.180371604308586
6,201506-201509,122,84,59.22330097087378,40.77669902912621,4822.669341111456,-1625.2548983468653,39.53007656648734,-19.348272599367444,15.521429333808692
7,201509-201512,112,92,54.90196078431373,45.09803921568628,3657.897859658353,-2018.3108998678024,32.65980231837815,-21.93816195508481,8.037190979365443
8,201512-201603,284,87,76.54986522911051,23.450134770889488,16014.775344534368,-1679.7480874700482,56.39005403005059,-19.307449281264923,38.63888748534857
9,201603-201606,218,82,72.66666666666667,27.333333333333332,11603.37651713744,-1453.157309174055,53.22649778503413,-17.721430599683597,33.83406402654462
10,201606-201609,234,89,72.44582043343654,27.55417956656347,11977.571779635578,-1719.5252819709988,51.18620418647683,-19.320508786191,31.758657887506438
11,201609-201612,246,28,89.78102189781022,10.218978102189782,21913.3422285366,-484.57215382274285,89.07862694527073,-17.306148350812244,78.2071900537002
12,201612-201703,167,121,57.986111111111114,42.01388888888889,7005.065579200271,-2841.3914869952496,41.94650047425312,-23.482574272688012,14.457201709045213
13,201703-201706,123,174,41.41414141414141,58.58585858585859,5323.853472731224,-4905.967333596117,43.283361566920526,-28.195214560897224,1.4070240374919443
14,201706-201709,84,179,31.93916349809886,68.06083650190115,3329.997197150149,-5555.416673704556,39.642823775597016,-31.0358473391316,-8.461671013514856
15,201709-201712,52,260,16.666666666666664,83.33333333333334,1567.2971666591902,-9246.884652921166,30.14033012806135,-35.56494097277371,-24.614062455967872
16,201712-201803,85,241,26.07361963190184,73.92638036809815,2629.997648710204,-7552.38433129056,30.94114880835534,-31.33769432070772,-15.099345652086981
17,201803-201806,59,162,26.69683257918552,73.30316742081448,1290.2653374736449,-4939.95835189591,21.86890402497703,-30.493570073431542,-16.514448029060024
18,201806-201809,57,137,29.381443298969074,70.61855670103093,1411.927278975426,-4486.260766685606,24.770654017112737,-32.74642895390953,-15.847079833557627
19,201809-201812,54,125,30.16759776536313,69.83240223463687,1684.1727062919779,-4493.571248760855,31.188383449851443,-35.948569990086845,-15.694963924407135
20,201812-201903,27,220,10.931174089068826,89.06882591093117,544.3908454996157,-10901.294668340217,20.162623907393172,-49.55133940154644,-41.93078470785668
21,201903-201906,43,166,20.574162679425836,79.42583732057416,1600.4958134133399,-5625.522272225926,37.22083287007767,-33.88868838690317,-19.258499802931034
22,201906-201909,72,76,48.64864864864865,51.35135135135135,4466.333944703493,-1801.5250213748234,62.03241589865963,-23.70427659703715,18.005465698166688
23,201909-201912,121,62,66.12021857923497,33.87978142076503,6536.441337817099,-871.9714421490744,54.020176345595864,-14.064055518533458,30.953387408021996
24,201912-202003,127,1,99.21875,0.78125,16936.609152928275,-17.80821917808219,133.3591271884116,-17.80821917808219,132.1781322949234
